Run	Num W	Num R	JSD	Same states
209	5	47	1.0	False
210	5	240	0.9999999999999998	False
211	5	103	0.9999999999999998	False
212	5	81	0.9999999999999998	False
213	5	597	1.0	False
214	5	222	0.9999999999999998	False
215	5	708	0.9999999999999998	False
216	5	953	1.0	False
217	5	905	0.9999999999999998	False
218	5	395	1.0	False
219	5	58	0.9999999999999998	False
220	5	635	1.0	False
221	5	117	0.9999999999999998	False
222	5	39	0.9999999999999998	False
223	5	137	1.0	False
224	5	376	1.0	False
225	5	30	1.0	False
226	5	256	0.9999999999999998	False
227	5	844	0.9999999999999998	False
228	5	148	1.0	False
229	5	86	0.9999999999999998	False
230	5	814	1.0	False
231	5	336	1.0	False
232	5	8	1.0	False
233	5	274	1.0	False
234	5	595	0.9999999999999998	False
235	5	412	1.0	False
236	5	64	1.0	False
237	5	14	1.0	False
238	5	132	0.9999999999999998	False
239	5	557	1.0	False
240	5	737	1.0	False
241	5	766	0.9999999999999998	False
242	5	537	1.0	False
243	5	38	0.9999999999999998	False
244	5	398	1.0	False
245	5	56	1.0	False
246	5	163	1.0	False
247	5	55	0.9999999999999998	False
248	5	914	1.0	False
249	5	166	1.0	False
250	5	51	1.0	False
251	5	58	0.9999999999999998	False
252	5	93	1.0	False
253	5	399	1.0	False
254	5	49	0.9999999999999998	False
255	5	68	1.0	False
256	5	319	1.0	False
257	5	320	1.0	False
258	5	1016	1.0	False
259	5	535	0.9999999999999998	False
260	5	240	1.0	False
261	5	16	1.0	False
262	5	63	1.0	False
263	5	213	1.0	False
264	5	986	1.0	False
265	5	987	1.0	False
266	5	56	1.0	False
267	5	169	0.9999999999999998	False
268	5	124	1.0	False
269	5	26	0.9999999999999998	False
270	5	121	0.9999999999999998	False
271	5	135	1.0	False
272	5	749	1.0	False
273	5	1021	1.0	False
274	5	661	1.0	False
275	5	121	0.9999999999999998	False
276	5	168	0.9999999999999998	False
277	5	33	0.9999999999999998	False
278	5	150	1.0	False
279	5	334	1.0	False
280	5	131	0.9999999999999998	False
281	5	132	1.0	False
282	5	100	1.0	False
283	5	601	1.0	False
284	5	79	0.9999999999999998	False
285	5	254	1.0	False
286	5	293	0.9999999999999998	False
287	5	56	0.9999999999999998	False
288	5	593	0.9999999999999998	False
289	5	97	1.0	False
290	5	568	1.0	False
291	5	60	0.9999999999999998	False
292	5	53	1.0	False
293	5	199	1.0	False
294	5	538	1.0	False
295	5	372	1.0	False
296	5	954	1.0	False
297	5	100	0.9999999999999998	False
298	5	138	1.0	False
299	5	398	0.9999999999999998	False
300	5	235	1.0	False
301	5	500	1.0	False
302	5	84	0.9999999999999998	False
303	5	26	0.9999999999999998	False
304	5	49	1.0	False
305	5	36	1.0	False
306	5	213	1.0	False
307	5	612	1.0	False
308	5	182	1.0	False
309	5	224	1.0	False
310	5	1021	0.9999999999999998	False
311	5	51	1.0	False
312	5	311	1.0	False
313	5	413	1.0	False
314	5	894	1.0	False
315	5	221	1.0	False
316	5	22	0.9999999999999998	False
317	5	316	1.0	False
318	5	105	1.0	False
319	5	78	0.9999999999999998	False
320	5	597	1.0	False
321	5	156	1.0	False
322	5	95	1.0	False
323	5	981	1.0	False
324	5	97	0.9999999999999998	False
325	5	46	1.0	False
326	5	808	1.0	False
327	5	847	1.0	False
328	5	53	0.9999999999999998	False
329	5	527	0.9999999999999998	False
330	5	179	0.9999999999999998	False
331	5	95	0.9999999999999998	False
332	5	975	1.0	False
333	5	139	0.9999999999999998	False
334	5	118	0.9999999999999998	False
335	5	63	0.9999999999999998	False
336	5	566	1.0	False
337	5	292	1.0	False
338	5	140	1.0	False
339	5	150	0.9999999999999998	False
340	5	883	0.9999999999999998	False
341	5	93	1.0	False
342	5	106	0.9999999999999998	False
343	5	950	1.0	False
344	5	655	1.0	False
345	5	58	1.0	False
346	5	66	1.0	False
347	5	613	1.0	False
348	5	322	1.0	False
349	5	91	1.0	False
350	5	26	1.0	False
351	5	509	1.0	False
352	5	967	0.9999999999999998	False
353	5	232	1.0	False
354	5	595	1.0	False
355	5	147	1.0	False
356	5	795	1.0	False
